WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono,Representa
"POINT (-58.438131 -34.706072)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 5TA,NECOL NRO. 326,Lomas de Zamora,01142863538/42863575,COMISARIO RAMIREZ DEL VALLE MARCOS DAVID
"POINT (-58.455319 -34.79797)",Comisaría,Ministerio de Seguridad,CRIA.ESTEBAN ECHEVERRIA 2DA,"TTE RETTES E/ ALMAFUERTE Y GONZALEZ, URBANO",Esteban Echeverría,01142903376/42900573,SUBCOMISARIO MOURELLI HUGO ORLANDO
"POINT (-58.45991 -34.706679)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 10MA,RIVERA SUR E/ COSQUIN Y CAMINO NEGRO,Lomas de Zamora,01142851792/42851786,SUBCOMISARIO SOSA LUIS ISMAEL
"POINT (-58.471895 -34.822508)",Comisaría,Ministerio de Seguridad,CRIA.ESTEBAN ECHEVERRIA 1RA,"SANTAMARINA, SOFIA NRO. 474",Esteban Echeverría,01142900123/42900333,COMISARIO GATTI JULIO MARCELO
"POINT (-58.472079 -34.524747)",Comisaría,Ministerio de Seguridad,CRIA.VICENTE LOPEZ 5TA,AV. LIBERTADOR E/ MELO Y VERNET,Vicente López,1145136020,SUBCOMISARIO CABRERA MIGUEL ANGEL
"POINT (-58.47244552 -34.80673165)",Comisaría,Ministerio de Seguridad,SUBCRIA.25 DE MAYO,MARIANO ALEGRE Y NICOLAS BRUZONE,Esteban Echeverría,1142817164,
"POINT (-58.485758 -34.754928)",Comisaría,Ministerio de Seguridad,CRIA.ESTEBAN ECHEVERRIA 3RA,CNO DE CINTURA NRO. 6098,Esteban Echeverría,01146933003/46933004/4693-3733,COMISARIO BARRIENTOS FERNANDO HUGO
"POINT (-58.487704 -34.698221)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NORESTE 6TA,"UGARTE, MARTIN E/ OLAVARRIA Y AGUERO",La Matanza,4622-4000/4444/5550/4433/4422,SUBCOMISARIO PAULONI JUAN GABRIEL
"POINT (-58.489988 -34.485247)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 4TA,"BALCARCE E/ MARTINEZ, L. Y ALVEAR, GRAL.",San Isidro,1145122444/1145122216/011-45122349/2218,COMISARIO FORQUERA LEONARDO GUSTAVO
"POINT (-58.49076 -37.152972)",Comisaría,Ministerio de Seguridad,EST.POL.COM.AYACUCHO,MITRE 1152,Ayacucho,02296-452013 / 451567,
"POINT (-58.492176 -34.705639)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NORESTE 5TA,DE CIRCUNVALACION Y DEL TALLO,La Matanza,4480-5663/5664/5665-4442-7804C,SUBCOMISARIO GARRO JAVIER GASTON
"POINT (-58.493476 -34.833701)",Comisaría,Ministerio de Seguridad,CRIA.ESTEBAN ECHEVERRIA 5TA,ANGEL ROTA Y BARBERENA,Esteban Echeverría,42955147/42955148/42327862,COMISARIO CORDOVA CLAUDIO FELICIANO
"POINT (-58.502337 -34.859968)",Comisaría,Ministerio de Seguridad,CRIA.ESTEBAN ECHEVERRIA 4TA,CASTEX M. - RP 52 E/ LAGO MASCARDI Y VIDAL,Esteban Echeverría,01142952222/42321794/42327500,SUBCOMISARIO SALAZAR JUAN JOSE
"POINT (-58.50299758 -35.77068159)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.BELGRANO,RIVADAVIA 526,Gral. Belgrano,2243452113/2243452291,SUBCOMISARIO MELINA CARLOS ALBERTO
"POINT (-58.503538 -34.490447)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 2DA,"ITALIA E/ RODRIGUEZ PE¥A Y YRIGOYEN, HIPOLITO",San Isidro,1145122342/1145122442,
"POINT (-58.503772 -34.547726)",Comisaría,Ministerio de Seguridad,CRIA.VICENTE LOPEZ 4TA,AV. LAPRIDA E/ GRECIA Y CHILE,Vicente López,1145131443/1145131420/1145131440,COMISARIO RODRIGUEZ HERNAN SEBASTIAN
"POINT (-58.50386 -34.684854)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NORESTE 1RA,"PEDERNERA E/ THOMPSON, M. Y CAGUAZU",La Matanza,4652-4444/3000 4655-0969 4454-7059,SUBCOMISARIO RENO EDGARDO GERMAN
"POINT (-58.504665 -34.534034)",Comisaría,Ministerio de Seguridad,CRIA.VICENTE LOPEZ 2DA,"AV SAN MARTIN E/ ECHEVERRIA Y DEL CAMPO, ESTANISLA",Vicente López,1145131447/1145131448/1145131449,COMISARIO MARCEL RUBEN EDGARDO
"POINT (-58.508271 -34.699388)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NORESTE 4TA,ALTOLAGUIRRE E/ JUNCAL Y TUYUTI,La Matanza,4442-3131 4462-2935,COMISARIO MARTINEZ JORGE ALEJANDRO
"POINT (-58.50987695 -34.87678511)",Comisaría,Ministerio de Seguridad,CRIA.EZEIZA 6TA,DELLEPIANE Y BARREIRO,Ezeiza,42952222,
"POINT (-58.5122199 -34.5166558)",Comisaría,Ministerio de Seguridad,SUBCRIA.LOMA DE ROCA,UZAL Y BORGES,Vicente López,1148971023,
"POINT (-58.515844 -34.472415)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 1RA,ALSINA E/ GARIBALDI Y AV. CENTENARIO,San Isidro,1145130058/1145130059,
"POINT (-58.516811 -34.70769811)",Comisaría,Ministerio de Seguridad,SUBCRIA.ALDO BONZI,JOSE ALICO 1020 ALDO BONZI,La Matanza,011-44625533/4442-0476,SUBCOMISARIO CORTEZ WALTER FABIAN
"POINT (-58.520354 -34.562056)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 6TA,LAVALLE E/ MATHEU Y MITRE,General San Martín,011-45126084/6776/6702/03,COMISARIO ZARCO LUIS ALBERTO
"POINT (-58.522204 -34.734372)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA ESTE 3RA,EL PICAFLOR E/ MOLLE Y LA CHOCA,La Matanza,46203333/44872043,COMISARIO VALLEJOS VICTOR OMAR
"POINT (-58.522784 -34.787788)",Comisaría,Ministerio de Seguridad,CRIA.EZEIZA 4TA,"LUGONES E/ SPANO, GUIDO Y HERNANDEZ, J.",Ezeiza,011-4480-0918/0371,
"POINT (-58.525148 -34.853333)",Comisaría,Ministerio de Seguridad,CRIA.EZEIZA 1RA,PRINCESA MAFALDA NRO. 255,Ezeiza,011-4295-0675/6767,
"POINT (-58.52517 -34.591961)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 3RA,GUIDO SPANO Y MONTEAGUDO,General San Martín,011-45126704,COMISARIO MARES DIEGO MARTIN
"POINT (-58.527105 -34.462003)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 5TA,"POSADAS, GERVASIO E/ AV. CENTENARIO Y GARIBALDI",San Isidro,1145130055/1145130056/1145130013/36/37,COMISARIO BRITES SERGIO ALBERTO
"POINT (-58.52724 -34.602717)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 10MA,POSADAS E/ MOSCONI Y AMEGHINO,Tres de Febrero,01145133037/38/39/43,COMISARIO HUBERTY DIEGO ANDRES
"POINT (-58.52733 -34.501834)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 10MA,HIPOLITO IRIGOYEN Y PANAMA,San Isidro,1147174342/1147174284,SUBCOMISARIO ESPOSITO HERNAN JACINTO
"POINT (-58.529062 -34.54874)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 8VA,4 DE FEBRERO E/ CAMPOS Y ROSALIA,General San Martín,114512 21/23,SUBCOMISARIO PEÑALVA SEBASTIAN GABRIEL
"POINT (-58.529377 -34.684029)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NORESTE 3RA,ALBERTI E/ CATRIEL Y ALVEAR,La Matanza,4652-4106/4936 4453-1007 4453-1316,COMISARIO GONZALEZ OSCAR ROBERTO
"POINT (-58.530628 -34.870275)",Comisaría,Ministerio de Seguridad,CRIA.EZEIZA 5TA,COSME ARGERICH NRO. 388,Ezeiza,011-43980777/78,SUBCOMISARIO CORREA ABEL GREGORIO
"POINT (-58.532388 -34.871914)",Comisaría,Ministerio de Seguridad,SUBCRIA.LA UNION,137 Y 524 Y 525,Ezeiza,0221-4707676/4709388,SUBCOMISARIO DE PAULIS GUSTAVO MARTIN
"POINT (-58.533379 -34.618147)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 8VA,"RODRIGUEZ, FRAY C. E/ INGENIEROS, JOSE Y GARIBALDI",Tres de Febrero,01145133031/32/42,COMISARIO MORENO MARCELO DANIEL
"POINT (-58.53542297 -34.64554946)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 12DA,ESTERO BELLACO N° 459,Tres de Febrero,1146531612,COMISARIO ROMERO MARIN ROLANDO ARIEL
"POINT (-58.53586 -34.527202)",Comisaría,Ministerio de Seguridad,CRIA.VICENTE LOPEZ 6TA,"DRYSDALE E/ CASTRO, R. Y CASTELLI",Vicente López,1145125137/1145125568/1145125556,COMISARIO AREVALO JOSE LUIS
"POINT (-58.540189 -34.601685)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 3RA,DR. CARBONE E/ ESTRADA Y NEWTON,Tres de Febrero,01145133222/3033/34/41,COMISARIO MACIEJOWSKI DANIEL MARCELO
"POINT (-58.541791 -34.455217)",Comisaría,Ministerio de Seguridad,CRIA.SAN FERNANDO 3RA,LAVALLE E/ DORREGO Y PALACIOS,San Fernando,1145800805/1145800804/1145800885/1145800882,SUBCOMISARIO SILVA NORBERTO CLAUDIO
"POINT (-58.541942 -34.580624)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 1RA,"BALBIN, RICARDO E/ BELGRANO Y MITRE",General San Martín,011-45126081/85/86/67786707,COMISARIO SERRIZUELA CLAUDIO FERNANDO
"POINT (-58.542464 -34.624342)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 6TA,PASO E/ PASTEUR Y RICHIERI,Tres de Febrero,01146539992/4657/9586,COMISARIO FIGUEROA FACUNDO HERNAN
"POINT (-58.543021 -34.638074)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 2DA,"GACETA DE BS AS E/ JUSTO, JUAN B. Y ARCO, STA. JUA",Tres de Febrero,01146533333/4542,COMISARIO CARDONA GRIÑO LUIS
"POINT (-58.545767 -34.647467)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NOROESTE 6TA,"GRAL ACHA E/ BALCARCE Y PALACIOS, ALFREDO",La Matanza,4653-3344 4647-0574/0172,COMISARIO BRITEZ HORACIO ENRIQUE
"POINT (-58.549273 -34.521008)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 8VA,"SCALABRINI ORTIZ E/ PERITO MORENO Y MALVINAS, SOLD",San Isidro,1145804455/59,
"POINT (-58.549567 -34.680499)",Comisaría,Ministerio de Seguridad,,OMBU NRO. 3720,La Matanza,,
"POINT (-58.55204 -34.455461)",Comisaría,Ministerio de Seguridad,CRIA.SAN FERNANDO 2DA,"SOBREMONTE E/ PASTEUR Y IRIONDO, S.",San Fernando,1145800887/1145800806/1145800881,SUBCOMISARIO PERALTA ANGEL JULIO
"POINT (-58.552752 -34.547925)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 2DA,BVARD. BALLESTER E/ LAVALLE Y ALVEAR,General San Martín,011-45125545/46/5559,SUBCOMISARIO ROMERO CLAUDIO JAVIER
"POINT (-58.553567 -34.55874)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 9NA,INDUSTRIA NRO. 3300,General San Martín,011-45126091,COMISARIO SASTRE RODOLFO JAVIER
"POINT (-58.5549 -34.658433)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NOROESTE 5TA,"ACONCAGUA E/ PEREYRA, LUIS Y OLIVERA, DOMINGO",La Matanza,4658-6741 4656-9555,SUBCOMISARIO GOMEZ LORENA VANESA
"POINT (-58.556183 -34.44017)",Comisaría,Ministerio de Seguridad,CRIA.SAN FERNANDO 1RA,"PERON, PTE. J.D. E/ 9 DE JULIO Y MADERO",San Fernando,01145800808/09/0883/88,COMISARIO VARGAS ROBERTO CLAUDIO
"POINT (-58.56009099 -34.43580558)",Comisaría,Ministerio de Seguridad,SUBCRIA.BAIRES BºBANCALARI,AVE DEL LIBERTADOR  GRAL SAN MARTIN Y ALVEAR,San Fernando,1148469010,SUBCOMISARIO FRIDMAN ALEJANDRO DAVID
"POINT (-58.561606 -34.677107)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NOROESTE 1RA,"VILLEGAS E/ ALMAFUERTE Y ARIETA, ING.",La Matanza,4651-3333/8302 4484-4700 4482-5683,COMISARIO CAPALBO FRANCISCO ARTURO
"POINT (-58.564905 -34.645799)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NOROESTE 2DA,AV. DE MAYO E/ CHACABUCO Y CASTELLI,La Matanza,4658-3333/1683 4656-1118,COMISARIO BATALLAN RUBEN DAVID
"POINT (-58.566683 -34.606261)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 1RA,SAN JORGE E/ AV. URQUIZA Y BELGRANO,Tres de Febrero,01147503333/45127607/7997/98/7766,COMISARIO ARCE DANIEL GUSTAVO
"POINT (-58.567472 -34.512241)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 3RA,"AV. ROLON, AVELINO E/ OLAZABAL Y BULNES",San Isidro,1145804468/1145804467/1145804461,COMISARIO ROSSO ALBERTO ORLANDO
"POINT (-58.569202 -34.893179)",Comisaría,Ministerio de Seguridad,CRIA.EZEIZA 2DA,ERRATCHU E/ 25 DE MAYO Y MAROTTO,Ezeiza,011-4234-8327,
"POINT (-58.569682 -34.63515)",Comisaría,Ministerio de Seguridad,CRIA.MORON 5TA,"TRES DE FEBRERO Y DEL CAMPO, ESTANISLAO",Morón,1146566328/46560550/46549841/46580130,COMISARIO REINOSO MARIANO ERNESTO
"POINT (-58.573002 -34.586552)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 9NA,"SEGUNDO SOMBRA E/ ILLIA, ARTURO Y HERNANDEZ, JOSE",Tres de Febrero,01145126863/64/67/69,COMISARIO SROKA ARNALDO
"POINT (-58.573356 -34.713304)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA OESTE 4TA,"PEKIN E/ BERRO, ADOLFO Y ANATOLE FRANCE",La Matanza,4694-2222,COMISARIO SANCHEZ SERGIO ANTONIO
"POINT (-58.573394 -34.575026)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 5TA,SAN LORENZO Y MORENO,General San Martín,011-45127893/91/6705/7892,COMISARIO ARIAS FACUNDO RODOLFO ANGEL
"POINT (-58.574582 -34.529568)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 4TA,AV. MARQUEZ E/ BVRD. BALLESTER Y BUENOS AIERS,General San Martín,011-45801155/1156,COMISARIO LUNA ANGEL DANIEL
"POINT (-58.581054 -34.485011)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 9NA,"CNO. REAL MORON E/ PANAMERICANA Y ARANA, GDOR.",San Isidro,1145804472,COMISARIO ESPINOSA JULIO MARCELO
"POINT (-58.58178346 -34.83195471)",Comisaría,Ministerio de Seguridad,,CAMINO REAL Y SASTRE,Ezeiza,S/D,
"POINT (-58.581838 -34.42174)",Comisaría,Ministerio de Seguridad,SUBCRIA.DELTA,LAVALLE Y SAN MARTIN,Tigre,1145805226,SUBCOMISARIO SUYO OMAR ALFREDO
"POINT (-58.58206157 -34.54829935)",Comisaría,Ministerio de Seguridad,SUBCRIA.JOSE LEON SUAREZ SUR,AV MARQUEZ Y 9 DE JULIO,General San Martín,S/D,COMISARIO ACIAR DANIEL MAURICIO
"POINT (-58.583754 -34.46407)",Comisaría,Ministerio de Seguridad,CRIA.SAN FERNANDO 4TA,MIGUEL CANE E/ EFRNANDO FADER Y BENJAMIN FRANKLIN,San Fernando,1145800802/1145800801/1145800803,SUBCOMISARIO MONTENEGRO JAVIER ROBERTO
"POINT (-58.585689 -34.657684)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NOROESTE 3RA,GARIBALDI E/ ENTRE RIOS Y ALMAFUERTE,La Matanza,4650-9156 4443-1301 4659-3344,SUBCOMISARIO SOSA BRUNO GASTON
"POINT (-58.586054 -34.646909)",Comisaría,Ministerio de Seguridad,CRIA.MORON 2DA,TACUARI E/ CHACABUCO Y MAIPU,Morón,01144600223/44601895/1144433766/46593333/46594444/,SUBCOMISARIO AGUILAR MORENO NESTOR MARCELO
"POINT (-58.586098 -34.699658)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA OESTE 1RA,PARIS E/ SEGUI Y SANTIAGO,La Matanza,4625-4049/5711,SUBCOMISARIO ZABALA JOSE TEODORO
"POINT (-58.589894 -34.914453)",Comisaría,Ministerio de Seguridad,CRIA.EZEIZA 3RA,25 DE MAYO E/ 12 DE OCTUBRE Y ROSARIO,Ezeiza,022274-421-153,
"POINT (-58.590273 -34.604544)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 7MA,LOS AROMOS E/ MAGNOLIAS Y ROBLES,Tres de Febrero,01145133060/62,COMISARIO RODRIGUEZ CARLOS DANIEL
"POINT (-58.591283 -34.748547)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA ESTE 1RA,"RAFAEL OBLIGADO E/ GUTIERREZ, RICARDO Y BEETHOVEN",La Matanza,4626-1111/1444 4467-0085/0376,
"POINT (-58.591665 -34.73033)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA ESTE 2DA,"NEWBERY, JORGE E/ SOLDADO ROSA Y TRES CRUCES",La Matanza,4626-0088/0153,COMISARIO MIRANDA ROBERTO RUFINO
"POINT (-58.59480737 -34.86256448)",Comisaría,Ministerio de Seguridad,SUBCRIA.CUATRO BOCAS,BLAS PARERA Y CAMINO REAL,Ezeiza,011-42343567,OFICIAL PRINCIPAL D'ELIA LUCAS MATIAS
"POINT (-58.59559587 -34.53344377)",Comisaría,Ministerio de Seguridad,CRIA.SAN MARTIN 10MA.,CAMINO DEL BUEN AYRE Y SALVADOR DEBENEDETTI,General San Martín,011-4580-1061,COMISARIO PEREZ ALBERTO ADOLFO
"POINT (-58.596008 -34.714297)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA OESTE 2DA,"BEDOYA, ELIAS E/ OLIVIERI Y LAVALLOL",La Matanza,4625-4758/6204,COMISARIO OLIVERA HECTOR RUBEN
"POINT (-58.596268 -34.608575)",Comisaría,Ministerio de Seguridad,CRIA.MORON 6TA,TTE GALAN E/ VICTORICA Y PEDERNERA,Morón,1145133480/45133064/45133061/01147587428,COMISARIO GONZALEZ RICARDO ALFREDO
"POINT (-58.597884 -34.576617)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 5TA,AV. MARQUEZ E/ SAN GUILLERMO Y BESADA,Tres de Febrero,01145127884/85/86/89,SUBCOMISARIO GALVAN JOSE AGUSTIN
"POINT (-58.615678 -34.772367)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA SUR 3RA,ACHUPALLAS E/ SOBERANIA NACIONAL Y MANASCO,La Matanza,02202-451850/453926,COMISARIO BANEGAS JAVIER ENRIQUE
"POINT (-58.618927 -34.4875)",Comisaría,Ministerio de Seguridad,CRIA.TIGRE 3RA,"ALVEAR, M. T. DE E/ RIOBAMBA Y MENENDEZ Y PELAYO",Tigre,1145132783/4,COMISARIO DERUDI MAURICIO JAVIER
"POINT (-58.622103 -34.652832)",Comisaría,Ministerio de Seguridad,CRIA.MORON 1RA,"MITRE, B. E/ BELGRANO Y SAN MARTIN",Morón,1144893869/44835053/46293333/01146284390/46284393,
"POINT (-58.626994 -34.698792)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA OESTE 3RA,MENDES ANDES E/ SANTA CRUZ Y CAPDEVILA,La Matanza,4697-7195/8103/0448/3892,COMISARIO OCAMPOS DIEGO ADRIAN
"POINT (-58.632531 -34.459219)",Comisaría,Ministerio de Seguridad,CRIA.TIGRE 2DA,"IRIGOYEN, HIPOLITO NRO. 745",Tigre,1145129763/62/877,SUBCOMISARIO FRANCO DIEGO JOSE LUIS
"POINT (-58.634388 -34.61481)",Comisaría,Ministerio de Seguridad,CRIA.HURLINGHAM 2DA,AV. VERGARA NRO. 2350,Hurlingham,1144502554/1144591910/1144596142/1144505192,COMISARIO MIRANDA CAMILO CESAR
"POINT (-58.63477 -34.685152)",Comisaría,Ministerio de Seguridad,CRIA.MORON 4TA,"SANTO DOMINGO E/ AV. PERON, EVA Y SOLARI",Morón,1146974791/46976531/46976222/46972944,COMISARIO PEREZ CHRISTIAN DAVID
"POINT (-58.635836 -34.6559)",Comisaría,Ministerio de Seguridad,CRIA.MORON 3RA,"LIBERTADOR E/ ATALIVA ROCA Y ROCHA, DARDO",Morón,01146284544/46284538/1146293344/44895346/46294444,SUBCOMISARIO MEMOLI MARCELO MARTIN
"POINT (-58.636435 -34.572554)",Comisaría,Ministerio de Seguridad,CRIA.HURLINGHAM 5TA,CJAL ENRIQUE RECAGNO Y THEVENING,Hurlingham,1146628444/1144526908/1144527025,
"POINT (-58.641782 -34.584126)",Comisaría,Ministerio de Seguridad,CRIA.HURLINGHAM 1RA,VICTORIA E/ MUSTONI Y GARIBALDI,Hurlingham,1144528370/1146623333/1146622222,
"POINT (-58.644854 -34.770688)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA SUR 1RA,SAENZ E/ CUYO Y PUERTO ARGENTINO,La Matanza,02202-422333/431333/422691/461445/461433,COMISARIO ROTUNNO JERONIMO ALBERTO
"POINT (-58.645461 -34.642102)",Comisaría,Ministerio de Seguridad,CRIA.MORON 7MA,"ALEM, L. N. E/ ESPANA Y ITALIA",Morón,01144581906/1146230584/46234556/46231043,COMISARIO CASCO PABLO ALBERTO
"POINT (-58.65214 -34.617842)",Comisaría,Ministerio de Seguridad,CRIA.HURLINGHAM 4TA,LANGARA Y LEBENSHON,Hurlingham,114460      ,SUBCOMISARIO AZAMEZ FERNANDO HUGO
"POINT (-58.654355 -34.470951)",Comisaría,Ministerio de Seguridad,CRIA.TIGRE 6TA,HIPOLITO YRIGOYEN Y PARAGUAY,Tigre,1147266206,SUBCOMISARIO BORDA VICTOR ANTONIO
"POINT (-58.660212 -34.577301)",Comisaría,Ministerio de Seguridad,CRIA.HURLINGHAM 3RA,POTOSI NRO. 3490,Hurlingham,1146658402/1146658418,COMISARIO GOMEZ CARLOS GERMAN
"POINT (-58.660917 -34.483969)",Comisaría,Ministerio de Seguridad,CRIA.TIGRE 5TA,"GELLY OBES, ANDRES GRAL. E/ ALEMANIA Y CORTEZ, HER",Tigre,1145129792/760/761/764/765,SUBCOMISARIO BRITO HEREDIA MARCOS BAUTISTA
"POINT (-58.668015 -34.64114)",Comisaría,Ministerio de Seguridad,CRIA.ITUZAINGO 2DA,LAVALLEJA NRO. 750,Ituzaingó,1144584999/1146234423/1146235461/1146244941,SUBCOMISARIO PEREZ DANIEL FERNANDO
"POINT (-58.668365 -34.657043)",Comisaría,Ministerio de Seguridad,CRIA.ITUZAINGO 1RA,OLAZABAL NRO. 899,Ituzaingó,1146230795/1146230842/1146243333,COMISARIO CONTRERAS ROBERTO FABIAN
"POINT (-58.677991 -34.619949)",Comisaría,Ministerio de Seguridad,CRIA.ITUZAINGO 3RA,"UDAONDO, GDOR. E/ DE LOS RESEROS Y DE LA VIDALITA",Ituzaingó,1146213030/1146210444/1146218196,SUBCOMISARIO SANABRIA JULIAN MARCELO
"POINT (-58.68802634 -34.45671066)",Comisaría,Ministerio de Seguridad,SUBCRIA.RICARDO ROJAS,DEL CASSE 3010,Tigre,3327444456,
"POINT (-58.689888 -34.565241)",Comisaría,Ministerio de Seguridad,CRIA.SAN MIGUEL 2DA,SAN MARTIN E/ ENTRE RIOS Y O'HIGGINS,San Miguel,01146660333/7412,COMISARIO SALVATIERRA WALTER ADRIAN
"POINT (-58.690079 -34.695996)",Comisaría,Ministerio de Seguridad,CRIA.MERLO 4TA,MORETTI Y COLOMBIA,Merlo,0220-4941214/4947870/4970499,SUBCOMISARIO ROSA ALBERTO MIGUEL
"POINT (-58.69302 -34.41139)",Comisaría,Ministerio de Seguridad,CRIA.TIGRE 4TA,ROCA NRO. 2446,Tigre,3327481200/2164/5905,COMISARIO PERALTA LOPEZ JUAN MARCOS
"POINT (-58.696325 -34.667101)",Comisaría,Ministerio de Seguridad,CRIA.MERLO 2DA,DIRECTORIO NRO. 236,Merlo,0220-4832222/4828888,SUBCOMISARIO ALT EDUARDO ADRIAN
"POINT (-58.704725 -34.490298)",Comisaría,Ministerio de Seguridad,CRIA.MALVINAS ARGENTINAS 3RA,EJERCITO DE LOS ANDES E/ RANCAGUA Y LOS ANDES,Malvinas Argentinas,02320480260/6191,
"POINT (-58.70514 -34.64741)",Comisaría,Ministerio de Seguridad,CRIA.ITUZAINGO 4TA,PRINGLES Y PORTUGAL,Ituzaingó,44813299/46210006,COMISARIO BENITEZ EDGARDO GASTON
"POINT (-58.717059 -34.541258)",Comisaría,Ministerio de Seguridad,CRIA.SAN MIGUEL 1RA,"ALEM, L. N. E/ ESPANA Y GUEMES",San Miguel,01146649333/4494,COMISARIO DI DIO LEAL JORGE MARCELO
"POINT (-58.72454611 -34.77249165)",Comisaría,Ministerio de Seguridad,SUBCRIA.20 DE JUNIO,URIEN Y CASTAÑEDA,La Matanza,02202-4920091/4920091,SUBCOMISARIO PARODI CESAR ABRAHAM
"POINT (-58.725271 -34.670448)",Comisaría,Ministerio de Seguridad,CRIA.MERLO 1RA,AV. DEL LIBERTADOR NRO. 368,Merlo,0220-4820028/1113,SUBCOMISARIO RODRIGUEZ DOMINGO GASTON
"POINT (-58.730342 -34.418474)",Comisaría,Ministerio de Seguridad,CRIA.ESCOBAR 3RA,PERNA 1151,Escobar,03488471333/472502,COMISARIO MANRIQUE WALTER ROQUE ALFREDO
"POINT (-58.731751 -34.686649)",Comisaría,Ministerio de Seguridad,CRIA.MERLO 3RA,SAN MARTIN E/ MURRAY Y BALBASTRO,Merlo,0220-4808744/6011,SUBCOMISARIO CORREA JUAN EDUARDO
"POINT (-58.735721 -34.640665)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 3RA,ZAPIOLA E/ DASTUGUE Y 25 DE MAYO,Moreno,02374636155/4624398,COMISARIO LUNA NICASIO LEONARDO
"POINT (-58.737456 -34.38944)",Comisaría,Ministerio de Seguridad,CRIA.ESCOBAR 2DA,FALUCHO1346,Escobar,03488441014/443502,SUBCOMISARIO SOTOMAKADO MARIO JAVIER
"POINT (-58.744985 -34.705837)",Comisaría,Ministerio de Seguridad,SUBCRIA.BARRIO MATERA,ALEM Y ARREDONDO,Merlo,2204804242/2204806888/2204808727,COMISARIO RAMOS RAUL JAVIER
"POINT (-58.747684 -34.561703)",Comisaría,Ministerio de Seguridad,CRIA.SAN MIGUEL 3RA,IRIGOYN NRO. 4480,San Miguel,01144557771/72,COMISARIO CABRERA GUSTAVO GABRIEL
"POINT (-58.750882 -34.582627)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 2DA,"AV. CERVANTES E/ J. GONZALES Y GALVEZ, M",Moreno,02374813461/4813171,SUBCOMISARIO DRESSEL ERNESTO OSVALDO
"POINT (-58.752694 -34.522666)",Comisaría,Ministerio de Seguridad,CRIA.JOSE C.PAZ 1RA,"ALTUBE, JOSE E/ GELLY Y OBES Y SAENZ PENA",José C. Paz,02320422583/2111/2211,COMISARIO CACERES SERGIO ALEJANDRO
